"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,7.2325,-1.347678310875
315,7.24,-2.18636607954392
315,7.2475,-3.04225418315814
315,7.255,2.45797033584901
315,7.2625,1.50441519936209
315,7.27,0.597293280040602
315,7.2775,-0.248576640268345
315,7.285,-1.25615911726242
315,7.2925,-2.0342277788996
315,7.3,-2.97671998809098
315,7.3075,2.29890022023141
315,7.315,1.48524228101958
315,7.3225,0.480418488836677
315,7.33,-0.549649557536766
315,7.3375,-1.47480522901607
315,7.345,-2.47571607359223
315,7.3525,2.74502807956002
315,7.36,1.9770846331525
315,7.3675,0.996060749739354
315,7.375,0.0565959434383647
315,7.3825,-0.657507896874931
315,7.39,-1.78451215288113
315,7.3975,-2.53127201960344
315,7.405,2.87347322402723
315,7.4125,1.78851966332096
315,7.42,1.0357126092859
315,7.4275,0.138983937648374
315,7.435,-0.738586636452287
315,7.4425,-1.54577069584442
315,7.45,-2.40681995940738
315,7.4575,2.92680846858089
315,7.465,1.91989026442457
315,7.4725,0.944794814633584
315,7.48,-0.0322724489032946
315,7.4875,-1.04679667954557
315,7.495,-2.01712223100213
315,7.5025,-2.99542774072444
315,7.51,2.27779343463132
315,7.5175,1.4120485509842
315,7.525,0.448342883409797
315,7.5325,-0.370819083346777
315,7.54,-1.18682546602547
315,7.5475,-2.10541390578192
315,7.555,-2.45133224796115
315,7.5625,2.9443350181885
315,7.57,2.0771831976022
315,7.5775,1.20772233334784
315,7.585,0.185213235449393
315,7.5925,-0.696743176220956
315,7.6,-1.46475079696351
315,7.6075,-2.4064755903426
315,7.615,2.98165163158633
315,7.6225,2.02869006809155
315,7.63,1.02559923368556
315,7.6375,0.11106920350508
315,7.645,-0.932763732779487
315,7.6525,-1.93032804498452
315,7.66,-2.89343651702073
315,7.6675,2.30515773532553
315,7.675,1.31260014477053
315,7.6825,0.348621511139414
315,7.69,-0.688290672810023
315,7.6975,-1.58300556036987
315,7.705,-2.47122795915616
315,7.7125,2.86568379210551
315,7.72,2.03926328838968
315,7.7275,1.141920395202
315,7.735,0.174568008043489
315,7.7425,-0.623833371464978
315,7.75,-1.50486178554983
315,7.7575,-2.53390736903823
315,7.765,-3.12715373915311
315,7.7725,2.39298007805106
315,7.78,1.82552150205608
315,7.7875,1.44773778377029
315,7.795,0.466572823205335
315,7.8025,-0.435287964413666
315,7.81,-1.38485065715717
315,7.8175,-2.42167506602998
315,7.825,2.88621397988925
315,7.8325,1.88691512263355
315,7.84,0.81606404905017
315,7.8475,-0.174865739713079
315,7.855,-1.20194419029451
315,7.8625,-2.20821892340556
315,7.87,-3.1130563121976
315,7.8775,2.12248193726646
315,7.885,1.22691050085584
315,7.8925,0.324984554310019
315,7.9,-0.738851449450099
315,7.9075,-1.61225275284542
315,7.915,-2.58646011810629
315,7.9225,2.71429548486796
315,7.93,1.78547041894378
315,7.9375,0.808588667133057
